Experiment 1,Experiment 2,Metric,Mean 1,Mean 2,Std 1,Std 2
IHT_0,IHT_1,Recall,0.8911163538309065,0.8893162718762438,0.10332123618956833,0.10391955436610552
IHT_0,IHT_1,F1,0.7590424134224464,0.7589477235161177,0.22803298676171063,0.2294567497868534
IHT_0,IHT_1,Precision,0.6994003766070244,0.6995613263160227,0.28313776532134616,0.2840033369390178
CNN_0,CNN_1,Recall,0.8107378374494137,0.8115118693738287,0.21756660138736922,0.21801169942998927
CNN_0,CNN_1,F1,0.7606628111908885,0.7618342122464038,0.23619030999728094,0.2364409047504368
CNN_0,CNN_1,Precision,0.730610198628912,0.7319346724921899,0.25208430248204183,0.25198254374907114
NCR_0,NCR_1,Recall,0.8046867588892271,0.8042936054876519,0.24892866473592384,0.2488825728867173
NCR_0,NCR_1,F1,0.7554722787607923,0.7558324601348403,0.25613628859883175,0.25585076347085595
NCR_0,NCR_1,Precision,0.7333588914410848,0.7352704844640195,0.2527688246277197,0.2502614542859841
Reen_0,Reen_1,Recall,0.8660427394748759,0.864438029275422,0.16772724943180076,0.16708876907359266
Reen_0,Reen_1,F1,0.7590574012007937,0.7587893022598573,0.23632077783773756,0.23647512056854203
Reen_0,Reen_1,Precision,0.7033689436178823,0.7036561981679448,0.2818326819459348,0.2810562364580817
OSS_0,OSS_1,Recall,0.7285531091465095,0.7289895514174449,0.2978514982503537,0.29930653702882204
OSS_0,OSS_1,F1,0.7357715645860599,0.7357884091843282,0.2871844930928235,0.2884590731020303
OSS_0,OSS_1,Precision,0.7619985047064177,0.7606793064968277,0.250099183934339,0.25120517669301856
CC_0,CC_1,Recall,0.8343733345355231,0.8343849563727072,0.1545747438677323,0.15352122959723297
CC_0,CC_1,F1,0.7640005823120309,0.7638162318440661,0.22150603200982583,0.22086690765510425
CC_0,CC_1,Precision,0.7292738673426582,0.7288223453724081,0.26351281592876497,0.263080539205618
ROS_0,ROS_1,Recall,0.8296549470331865,0.8311442923232412,0.1619241846150894,0.1597446441381138
ROS_0,ROS_1,F1,0.774603814483893,0.7761801548893911,0.2252623716466437,0.22416520123228595
ROS_0,ROS_1,Precision,0.7454006788469033,0.7463465459157387,0.26388621201960755,0.2633274969941384
SMOTE_0,SMOTE_1,Recall,0.8285485653894707,0.8286684697420518,0.16139251715439296,0.16267238784578827
SMOTE_0,SMOTE_1,F1,0.7755595257285717,0.7781286157264872,0.2236444236195692,0.22342598453385681
SMOTE_0,SMOTE_1,Precision,0.7472295127313745,0.75136829352406,0.26191845350886034,0.2606067664941952
BSMOTE_0,BSMOTE_1,Recall,0.8289199453314806,0.8280276955868048,0.16616710811367594,0.16691938843990767
BSMOTE_0,BSMOTE_1,F1,0.774208176127927,0.775573130191079,0.22473680069370802,0.22411874710523302
BSMOTE_0,BSMOTE_1,Precision,0.7438686956723269,0.7462062493028966,0.2603910697946572,0.2591250544958286
SVM_0,SVM_1,Recall,0.7983245291404963,0.8000778214186961,0.21013960461632003,0.2115391122852112
SVM_0,SVM_1,F1,0.7678516616642638,0.7701471482523014,0.23432701903546704,0.23466792389849322
SVM_0,SVM_1,Precision,0.7512502743741312,0.7536585100011716,0.2528866570738323,0.25244801896432956
SMOTENN_0,SMOTENN_1,Recall,0.8491103927599442,0.849081784322039,0.11880182013124013,0.11922596124348385
SMOTENN_0,SMOTENN_1,F1,0.7539027112882404,0.7533326784236608,0.2295157020778219,0.2306977521901055
SMOTENN_0,SMOTENN_1,Precision,0.711525173077392,0.710323866488349,0.2823145324807622,0.2829741724767864
SMOTETomek_0,SMOTETomek_1,Recall,0.8282799776073039,0.8287946299780563,0.16202117341160727,0.16345741180676907
SMOTETomek_0,SMOTETomek_1,F1,0.7745746425603043,0.7767811548039635,0.2240937728890215,0.22408136739041407
SMOTETomek_0,SMOTETomek_1,Precision,0.7455005009821694,0.7485268642116054,0.2614644450881176,0.260985150234185
