Dataset,Experiment,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_Precision,Std_Precision
BCWDD,OSS_0,0.943532668881506,0.00685666913508219,0.945205175605256,0.005249926082490983,0.9482040878601006,0.006825339305953419
BCWDD,OSS_1,0.9456109265411593,0.006730448010413238,0.9460844134369583,0.0046269275875752205,0.9476112104537386,0.005838095447904712
BCWDD,CC_0,0.9540310077519379,0.008963231491894241,0.9469858898684133,0.007309886375798991,0.9411509675028198,0.010514177401859367
BCWDD,CC_1,0.9550682908822442,0.0064040358358055565,0.9468211155072808,0.0064889659612755,0.9399204151190558,0.010205191536287985
BCWDD,ROS_0,0.943543743078627,0.008666288650859319,0.9472438898952856,0.005979200298831075,0.9521704238685434,0.00804580447467949
BCWDD,ROS_1,0.9445367294204505,0.00827888308864773,0.9463974574929548,0.005708660120187039,0.9493824537541113,0.006608452798400622
BCWDD,SMOTE_0,0.951074197120709,0.00884381249680071,0.9499985367085501,0.006734576137107497,0.9499823289184388,0.008680585859171554
BCWDD,SMOTE_1,0.9508231819859727,0.0076323065187484055,0.9484023393161576,0.005063897127946417,0.9470942958749563,0.005080195349293201
BCWDD,BSMOTE_0,0.952953119232189,0.008664056414527622,0.9484197670269577,0.00565083238179839,0.9449605304432052,0.006352197235722299
BCWDD,BSMOTE_1,0.952218530823182,0.00550746840202159,0.9472686082058631,0.0035839504791980187,0.9432688527344215,0.006296898913815072
BCWDD,SVM_0,0.9625396825396826,0.007334203304310556,0.9486431394969471,0.006082887294780098,0.9361423017137663,0.008422914455796796
BCWDD,SVM_1,0.9632410483573276,0.006144927746161585,0.9494572960491623,0.004906027000815869,0.9369769816641564,0.007192172787224279
BCWDD,SMOTEENN_0,0.9323846437799926,0.008726658613447803,0.9243232565785071,0.008148523588970898,0.9184099884873974,0.011161045653913437
BCWDD,SMOTEENN_1,0.9360391288298265,0.00935463519018478,0.9269101659666336,0.005979167311502527,0.9196918077084713,0.008262805384845327
BCWDD,SMOTETomek_0,0.9515762273901808,0.007378991266602706,0.9470641521695278,0.0062340556279228965,0.9437393645985375,0.008759641926969753
BCWDD,SMOTETomek_1,0.9508268733850129,0.007325422121234984,0.947240687128538,0.004683344844741904,0.9446575481280913,0.006822919471371505
Haberman,Baseline,0.3007352941176471,0.030887604595485525,0.3512888094158653,0.03245678138768542,0.45093933302679423,0.04380413120266866
Haberman,RUS_0,0.6182843137254902,0.05193791116983711,0.4723072399039309,0.031181769151386745,0.38611490619347055,0.023252295939788836
Haberman,RUS_1,0.6068137254901961,0.04257894041493869,0.4630616501436344,0.0253166044644525,0.37718427981333613,0.020128774069704727
Haberman,MLCV,0.3186274509803922,0.032612226015090735,0.37815563638112637,0.03292234160102142,0.4801823731823731,0.04146533144179864
Haberman,TomekLinks_0,0.3831372549019608,0.03690753302306345,0.39579349993853935,0.03346114172493832,0.42516632409881827,0.03581838843199465
Haberman,TomekLinks_1,0.3811519607843137,0.03979586904203069,0.4020096639394992,0.031849783178768104,0.4347404788729664,0.03094869840735979
Haberman,ENN_0,0.6466911764705883,0.03434736621262167,0.4646521826569361,0.021960164897088595,0.3668646540586924,0.019649810987675934
Haberman,ENN_1,0.6562990196078432,0.03303300583114828,0.4704035666775862,0.01793815859904375,0.36929172538602306,0.01527628654394802
Haberman,NearMiss_0,0.6629901960784313,0.05021914681325529,0.45316269368190765,0.029462307941226545,0.3481962548456516,0.022957875915989082
Haberman,NearMiss_1,0.674093137254902,0.04381459777605616,0.4606610091603478,0.023865180102762236,0.3519005864428071,0.017642609574547975
Haberman,AllKNN_0,0.7296568627450982,0.02905502608089213,0.466353617999558,0.017902442629137504,0.34527924675078314,0.015145078294797628
